time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.15375771665,0.0347493116659,11.8891795105,6.28141492447,0.0849358618027,0.0,-0.437410026088,0.0365310138171,2.51729903655,-0.0185911691799,0.127191339658,0.0,451.917579051575,451.62602798078984,451.19081842814455,450.50708938121056
1.3800000000000008,-0.181736888959,0.0369022668685,12.0425622036,6.28087180589,0.0932804012318,0.0,-0.496010695352,0.0351574779103,2.59519703082,0.00527839080087,0.15593680983,0.0,436.0661285110947,438.4784316144301,435.60665580931146,437.59819246308973
1.4400000000000008,-0.213471286768,0.0389649303234,12.2012955683,6.28101586105,0.102925325618,0.0,-0.562752409559,0.0336230393051,2.69556764274,-0.00408509981705,0.168949838547,0.0,443.356890137334,444.4491875111088,445.80587015526567,445.04009371265505
1.5000000000000009,-0.249218662317,0.0409407663596,12.3641845546,6.28097471369,0.112957020493,0.0,-0.629755180083,0.0322260540848,2.73384913916,0.00536854036002,0.163436948961,0.0,426.03067341939584,425.58710629056526,424.667935347929,425.4780858425976
1.560000000000001,-0.29024331246,0.0428143651628,12.5386204214,6.28160929647,0.122799820158,0.0,-0.738991905454,0.0302979399144,3.0796102745,0.019360691114,0.165237439658,0.0,517.3873405120726,517.5355816671537,516.9113379876076,517.8962771081502
1.620000000000001,-0.336885527454,0.0446077817218,12.7240761055,8.68608066291e-05,0.132587802432,0.0,-0.816634436871,0.0296141738537,3.10203388114,0.04064495404,0.158558584218,0.0,423.1887991918991,422.640315683599,422.1616122067518,423.99445486436025
1.680000000000001,-0.388957087096,0.0463971033735,12.9152298054,0.00278980747575,0.141836182602,0.0,-0.920073926798,0.0303184879571,3.2690939775,0.0526533359882,0.143399796788,0.0,468.81627943668025,467.6579205309445,469.52293949517,470.4547021153044
1.740000000000001,-0.447571598789,0.0482957479225,13.1172706077,0.00603835364993,0.150312340182,0.0,-1.03465295131,0.0333391533927,3.46481287901,0.0569646387346,0.136631810741,0.0,478.7267461934556,478.2284706543809,479.3329036232914,479.6621433770696
1.8000000000000012,-0.512439328269,0.050417804459,13.3256515476,0.0100242622722,0.158968975053,0.0,-1.12835818751,0.0377303200026,3.48098855438,0.0806739901589,0.156321750313,0.0,423.16103148068646,424.8729140911581,424.02672196729606,426.06211142494635
1.8600000000000012,-0.583364968348,0.0528978993128,13.5366565281,0.0144645670985,0.168549285008,0.0,-1.23672273553,0.0453930408647,3.55205703986,0.0553194903276,0.165640134558,0.0,442.7423521630543,443.5326040026098,443.85828945180594,441.7765861658611
